p_type	dpi	cultivar	GO	NS	enrichment	name	criteria	ratio_in_study	assigned_genes	total_genes	p-to-use	p_uncorrected	depth	study_count	p_fdr_bh	study_items
pfdr0.05	1dpi	OA	GO:0017144	BP	e	drug metabolic process        	enriched-OA	16/329	16	329	1.26E-08	4.32E-11	3	16	1.26E-08	"TraesCS1D02G207000, TraesCS2A02G033600, TraesCS2A02G381100, TraesCS2A02G558200, TraesCS2B02G308500, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS2D02G571400, TraesCS3D02G260300, TraesCS4B02G379500, TraesCS6A02G222800, TraesCS6B02G063500, TraesCS6B02G063900, TraesCS6B02G342400, TraesCS7B02G251100, TraesCSU02G169600"
pfdr0.05	1dpi	OA	GO:0043168	MF	e	anion binding                 	both	37/329	37	329	0.000152	1.45E-06	3	37	0.000152	"TraesCS1A02G423100, TraesCS1B02G036700, TraesCS1B02G036800, TraesCS1D02G123700, TraesCS2A02G026600, TraesCS2A02G107000, TraesCS2D02G568400, TraesCS2D02G571300, TraesCS2D02G572600, TraesCS3B02G005000, TraesCS3B02G005100, TraesCS3D02G234300, TraesCS3D02G438600, TraesCS4A02G331100, TraesCS4A02G447700, TraesCS4A02G461800, TraesCS4A02G466000, TraesCS4A02G471700, TraesCS5A02G003600, TraesCS5B02G428400, TraesCS5B02G454700, TraesCS6A02G004500, TraesCS6A02G168900, TraesCS6B02G058300, TraesCS6B02G114200, TraesCS6B02G152700, TraesCS6B02G353200, TraesCS6D02G374200, TraesCS6D02G375700, TraesCS7A02G021800, TraesCS7A02G392800, TraesCS7A02G434100, TraesCS7A02G442500, TraesCS7D02G017400, TraesCS7D02G020800, TraesCS7D02G036700, TraesCSU02G141500"
puncorrected0.05	1dpi	SA	GO:0043168	MF	e	anion binding                 	both	19906	7	54	0.0135	0.0135	3	7	1	"TraesCS2A02G510300, TraesCS2D02G042200, TraesCS3D02G011900, TraesCS5B02G535100, TraesCS6B02G072400, TraesCS6B02G148400, TraesCS7D02G041100"
pfdr0.05	1dpi	OA	GO:0043169	MF	e	cation binding                	enriched-OA	41/329	41	329	1.33E-10	3.11E-13	3	41	1.33E-10	"TraesCS1A02G122500, TraesCS1A02G149300, TraesCS1A02G445600, TraesCS2A02G121200, TraesCS2B02G519000, TraesCS2D02G006500, TraesCS2D02G027100, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS2D02G436200, TraesCS2D02G568600, TraesCS2D02G571900, TraesCS3B02G282400, TraesCS3B02G362600, TraesCS4B02G033100, TraesCS4B02G043300, TraesCS4B02G382300, TraesCS4D02G031600, TraesCS4D02G031800, TraesCS4D02G032200, TraesCS4D02G035200, TraesCS4D02G040800, TraesCS5A02G014400, TraesCS5A02G077900, TraesCS5A02G286100, TraesCS5B02G428400, TraesCS5B02G454700, TraesCS5D02G407400, TraesCS6A02G173700, TraesCS6B02G063500, TraesCS6B02G063900, TraesCS6B02G158300, TraesCS6D02G122800, TraesCS6D02G377900, TraesCS7A02G013400, TraesCS7A02G350000, TraesCS7A02G363100, TraesCS7A02G442500, TraesCS7B02G251100, TraesCS7D02G404900, TraesCSU02G007800"
pfdr0.05	1dpi	OA	GO:0043170	BP	e	macromolecule metabolic process	enriched-OA	39/329	39	329	0.0135	0.000255	3	39	0.0135	"TraesCS1A02G149300, TraesCS1B02G036700, TraesCS1B02G315700, TraesCS1D02G207000, TraesCS2A02G022700, TraesCS2A02G033600, TraesCS2A02G107000, TraesCS2A02G558200, TraesCS2D02G220900, TraesCS2D02G571400, TraesCS2D02G572600, TraesCS3A02G056000, TraesCS3A02G517100, TraesCS3B02G005000, TraesCS3B02G005100, TraesCS3D02G260300, TraesCS3D02G438600, TraesCS4A02G422100, TraesCS4A02G437100, TraesCS4A02G499900, TraesCS5B02G428400, TraesCS5B02G454700, TraesCS6A02G004500, TraesCS6A02G168900, TraesCS6A02G194200, TraesCS6A02G286900, TraesCS6A02G406500, TraesCS6B02G152700, TraesCS6B02G281000, TraesCS6D02G374200, TraesCS6D02G375700, TraesCS7A02G427100, TraesCS7A02G434100, TraesCS7A02G510200, TraesCS7B02G021500, TraesCS7D02G036700, TraesCS7D02G418600, TraesCSU02G093800, TraesCSU02G169600"
pfdr0.05	1dpi	OA	GO:0044248	BP	e	cellular catabolic process    	enriched-OA	17/329	17	329	2.07E-07	1.06E-09	3	17	2.07E-07	"TraesCS1D02G207000, TraesCS2A02G033600, TraesCS2A02G381100, TraesCS2A02G493600, TraesCS2A02G558200, TraesCS2B02G521600, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS2D02G571400, TraesCS3D02G260300, TraesCS6A02G222800, TraesCS6B02G008100, TraesCS6B02G063500, TraesCS6B02G063900, TraesCS6B02G342400, TraesCS7B02G251100, TraesCSU02G169600"
pfdr0.05	1dpi	OA	GO:0044282	BP	e	small molecule catabolic process	enriched-OA	5/329	5	329	0.00138	1.55E-05	3	5	0.00138	"TraesCS2A02G381100, TraesCS2A02G493600, TraesCS2B02G521600, TraesCS6A02G222800, TraesCS6B02G342400"
pfdr0.05	1dpi	OA	GO:0046906	MF	e	tetrapyrrole binding          	enriched-OA	13/329	13	329	0.00181	2.22E-05	3	13	0.00181	"TraesCS2B02G519000, TraesCS2D02G006500, TraesCS2D02G027100, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS4B02G382300, TraesCS5D02G407400, TraesCS6B02G063500, TraesCS6B02G063900, TraesCS6B02G158300, TraesCS6D02G377900, TraesCS7B02G251100, TraesCS7D02G404900"
pfdr0.05	1dpi	OA	GO:0051186	BP	e	cofactor metabolic process    	enriched-OA	11/329	11	329	3.00E-05	2.29E-07	3	11	3.00E-05	"TraesCS2A02G493600, TraesCS2B02G521600, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS4A02G420600, TraesCS4B02G379500, TraesCS6B02G008100, TraesCS6B02G063500, TraesCS6B02G063900, TraesCS7A02G442500, TraesCS7B02G251100"
pfdr0.05	1dpi	OA	GO:0072593	BP	e	reactive oxygen species metabolic process	enriched-OA	6/329	6	329	0.012	0.000215	3	6	0.012	"TraesCS2A02G121200, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS6B02G063500, TraesCS6B02G063900, TraesCS7B02G251100"
pfdr0.05	1dpi	OA	GO:0098869	BP	e	cellular oxidant detoxification	enriched-OA	6/329	6	329	0.00765	0.000117	3	6	0.00765	"TraesCS2A02G109500, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS6B02G063500, TraesCS6B02G063900, TraesCS7B02G251100"
pfdr0.05	1dpi	OA	GO:1901135	BP	e	carbohydrate derivative metabolic process	enriched-OA	11/329	11	329	8.21E-06	6.13E-08	3	11	8.21E-06	"TraesCS1D02G123700, TraesCS1D02G207000, TraesCS2A02G033600, TraesCS2A02G493600, TraesCS2A02G558200, TraesCS2B02G521600, TraesCS2D02G571400, TraesCS3D02G260300, TraesCS3D02G491400, TraesCS5A02G014400, TraesCSU02G169600"
pfdr0.05	1dpi	OA	GO:1901265	MF	e	nucleoside phosphate binding  	both	40/329	40	329	5.09E-06	3.56E-08	3	40	5.09E-06	"TraesCS1A02G122500, TraesCS1A02G423100, TraesCS1B02G036700, TraesCS1B02G036800, TraesCS1D02G123700, TraesCS2A02G026600, TraesCS2A02G107000, TraesCS2A02G493600, TraesCS2B02G521600, TraesCS2D02G568400, TraesCS2D02G571300, TraesCS2D02G572600, TraesCS3B02G005000, TraesCS3B02G005100, TraesCS3D02G234300, TraesCS3D02G438600, TraesCS3D02G491400, TraesCS4A02G331100, TraesCS4A02G447700, TraesCS4A02G461800, TraesCS4A02G466000, TraesCS4A02G471700, TraesCS5A02G003600, TraesCS5B02G428400, TraesCS5B02G454700, TraesCS6A02G004500, TraesCS6A02G168900, TraesCS6B02G058300, TraesCS6B02G114200, TraesCS6B02G152700, TraesCS6B02G353200, TraesCS6D02G374200, TraesCS6D02G375700, TraesCS7A02G021800, TraesCS7A02G434100, TraesCS7A02G442500, TraesCS7D02G017400, TraesCS7D02G020800, TraesCS7D02G036700, TraesCSU02G141500"
puncorrected0.05	1dpi	SA	GO:1901265	MF	e	nucleoside phosphate binding  	both	19906	7	54	0.012	0.012	3	7	1	"TraesCS2A02G510300, TraesCS2D02G042200, TraesCS3D02G011900, TraesCS5B02G535100, TraesCS6B02G072400, TraesCS6B02G148400, TraesCS7D02G041100"
pfdr0.05	1dpi	OA	GO:1901564	BP	e	organonitrogen compound metabolic process	enriched-OA	44/329	44	329	1.52E-06	9.47E-09	3	44	1.52E-06	"TraesCS1B02G036700, TraesCS1B02G315700, TraesCS1D02G123700, TraesCS1D02G207000, TraesCS2A02G022700, TraesCS2A02G033600, TraesCS2A02G107000, TraesCS2A02G381100, TraesCS2A02G493600, TraesCS2A02G558200, TraesCS2B02G308500, TraesCS2B02G521600, TraesCS2D02G571400, TraesCS2D02G572600, TraesCS3B02G005000, TraesCS3B02G005100, TraesCS3D02G260300, TraesCS3D02G438600, TraesCS4A02G420600, TraesCS4A02G422100, TraesCS4B02G379500, TraesCS5A02G014400, TraesCS5B02G428400, TraesCS5B02G454700, TraesCS6A02G004500, TraesCS6A02G168900, TraesCS6A02G194200, TraesCS6A02G222800, TraesCS6A02G406500, TraesCS6B02G008100, TraesCS6B02G152700, TraesCS6B02G342400, TraesCS6D02G374200, TraesCS6D02G375700, TraesCS7A02G241100, TraesCS7A02G392800, TraesCS7A02G434100, TraesCS7A02G442500, TraesCS7A02G510200, TraesCS7B02G021500, TraesCS7B02G136600, TraesCS7D02G036700, TraesCSU02G093800, TraesCSU02G169600"
pfdr0.05	1dpi	OA	GO:1901575	BP	e	organic substance catabolic process	enriched-OA	18/329	18	329	4.87E-09	1.59E-11	3	18	4.87E-09	"TraesCS1D02G123700, TraesCS1D02G207000, TraesCS2A02G022700, TraesCS2A02G033600, TraesCS2A02G381100, TraesCS2A02G493600, TraesCS2A02G558200, TraesCS2B02G521600, TraesCS2D02G220900, TraesCS2D02G571400, TraesCS3D02G260300, TraesCS4B02G043300, TraesCS4D02G040800, TraesCS5A02G014400, TraesCS6A02G222800, TraesCS6B02G008100, TraesCS6B02G342400, TraesCSU02G169600"
pfdr0.05	3dpi	OA	GO:0004497	MF	e	monooxygenase activity        	enriched-OA	9/386	9	386	0.00271	4.65E-05	3	9	0.00271	"TraesCS2B02G360300, TraesCS2D02G006500, TraesCS4A02G308600, TraesCS4B02G382300, TraesCS5A02G317600, TraesCS5A02G455800, TraesCS5D02G462500, TraesCS6B02G158300, TraesCS6D02G377900"
pfdr0.05	3dpi	OA	GO:0005975	BP	e	carbohydrate metabolic process	enriched-OA	25/386	25	386	3.30E-11	1.23E-13	3	25	3.30E-11	"TraesCS1A02G088600, TraesCS1A02G203600, TraesCS1A02G203700, TraesCS1A02G422900, TraesCS1B02G107600, TraesCS1B02G454200, TraesCS1D02G090000, TraesCS1D02G207000, TraesCS1D02G207100, TraesCS2A02G033600, TraesCS2A02G105900, TraesCS2B02G084200, TraesCS3A02G480200, TraesCS3A02G481600, TraesCS3A02G483000, TraesCS3A02G483100, TraesCS3D02G260300, TraesCS3D02G475000, TraesCS3D02G475100, TraesCS3D02G478000, TraesCS4B02G356800, TraesCS5A02G014400, TraesCS5D02G408200, TraesCS6A02G286900, TraesCS7A02G427100"
pfdr0.05	3dpi	OA	GO:0006793	BP	e	phosphorus metabolic process  	enriched-OA	40/386	40	386	1.86E-10	8.67E-13	3	40	1.86E-10	"TraesCS1A02G006300, TraesCS1A02G017900, TraesCS1A02G018000, TraesCS1A02G088600, TraesCS1A02G422600, TraesCS1B02G006500, TraesCS1B02G007100, TraesCS1B02G036700, TraesCS1B02G107600, TraesCS1B02G456700, TraesCS1D02G090000, TraesCS1D02G430800, TraesCS2A02G107000, TraesCS2B02G084000, TraesCS2B02G084100, TraesCS2B02G084200, TraesCS2D02G145300, TraesCS2D02G571100, TraesCS2D02G571300, TraesCS2D02G572600, TraesCS3A02G039200, TraesCS3B02G005000, TraesCS3B02G005100, TraesCS3B02G481000, TraesCS3B02G547300, TraesCS3D02G438600, TraesCS3D02G493700, TraesCS5A02G014400, TraesCS5D02G187500, TraesCS6A02G004500, TraesCS6A02G228900, TraesCS6A02G385000, TraesCS6B02G152700, TraesCS6D02G375700, TraesCS7A02G040400, TraesCS7A02G434100, TraesCS7B02G378300, TraesCS7B02G415600, TraesCS7D02G036700, TraesCS7D02G161100"
puncorrected0.05	3dpi	SA	GO:0006810	BP	e	transport                     	enriched-SA	14671	3	40	0.0493	0.0493	3	3	1	"TraesCS2A02G031600, TraesCS2D02G009100, TraesCS5A02G332300"
pfdr0.05	3dpi	OA	GO:0006979	BP	e	response to oxidative stress  	enriched-OA	8/386	8	386	0.00291	5.07E-05	3	8	0.00291	"TraesCS2A02G107600, TraesCS2A02G108600, TraesCS2B02G124800, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS2D02G107900, TraesCS4A02G106300, TraesCS6B02G063900"
puncorrected0.05	3dpi	SA	GO:0010817	BP	e	regulation of hormone levels  	enriched-SA	14611	1	40	0.0334	0.0334	3	1	1	TraesCS5B02G561300
pfdr0.05	3dpi	OA	GO:0016021	CC	e	integral component of membrane	enriched-OA	41/386	41	386	0.00117	1.64E-05	3	41	0.00117	"TraesCS1A02G017900, TraesCS1A02G230400, TraesCS1A02G422600, TraesCS1B02G060700, TraesCS1B02G377700, TraesCS1D02G430800, TraesCS2A02G026900, TraesCS2A02G046600, TraesCS2A02G232200, TraesCS2B02G084000, TraesCS2D02G144900, TraesCS2D02G162300, TraesCS2D02G569900, TraesCS2D02G570300, TraesCS2D02G571100, TraesCS2D02G571200, TraesCS2D02G572600, TraesCS2D02G574200, TraesCS3A02G354800, TraesCS3B02G387800, TraesCS3B02G481000, TraesCS3D02G348800, TraesCS4A02G033600, TraesCS4A02G393600, TraesCS4B02G029600, TraesCS4B02G057200, TraesCS5B02G228500, TraesCS5D02G462500, TraesCS6A02G286900, TraesCS6A02G385000, TraesCS6B02G007400, TraesCS6B02G109300, TraesCS6B02G398300, TraesCS6D02G375700, TraesCS6D02G389600, TraesCS7A02G236200, TraesCS7A02G350300, TraesCS7B02G378300, TraesCS7B02G415600, TraesCS7D02G036700, TraesCS7D02G207300"
pfdr0.05	3dpi	OA	GO:0016684	MF	e	"oxidoreductase activity, acting on peroxide as acceptor"	enriched-OA	8/386	8	386	0.00135	1.98E-05	3	8	0.00135	"TraesCS2A02G107600, TraesCS2A02G108600, TraesCS2B02G124800, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS2D02G107900, TraesCS4A02G106300, TraesCS6B02G063900"
pfdr0.05	3dpi	OA	GO:0016772	MF	e	"transferase activity, transferring phosphorus-containing groups"	enriched-OA	32/386	32	386	1.95E-07	1.82E-09	3	32	1.95E-07	"TraesCS1A02G006300, TraesCS1A02G017900, TraesCS1A02G018000, TraesCS1A02G422600, TraesCS1B02G006500, TraesCS1B02G007100, TraesCS1B02G036700, TraesCS1B02G456700, TraesCS1D02G430800, TraesCS2A02G107000, TraesCS2B02G084000, TraesCS2B02G084100, TraesCS2D02G145300, TraesCS2D02G571100, TraesCS2D02G571300, TraesCS2D02G572600, TraesCS3A02G039200, TraesCS3B02G005000, TraesCS3B02G005100, TraesCS3B02G481000, TraesCS3D02G438600, TraesCS5D02G187500, TraesCS6A02G004500, TraesCS6A02G228900, TraesCS6A02G385000, TraesCS6B02G152700, TraesCS6D02G375700, TraesCS7A02G434100, TraesCS7B02G378300, TraesCS7B02G415600, TraesCS7D02G036700, TraesCS7D02G161100"
pfdr0.05	3dpi	OA	GO:0016798	MF	e	"hydrolase activity, acting on glycosyl bonds"	enriched-OA	19/386	19	386	1.03E-09	5.84E-12	3	19	1.03E-09	"TraesCS1A02G203600, TraesCS1A02G203700, TraesCS1A02G422900, TraesCS1B02G454200, TraesCS1D02G207000, TraesCS1D02G207100, TraesCS2A02G033600, TraesCS2A02G105900, TraesCS3A02G480200, TraesCS3A02G481600, TraesCS3A02G483000, TraesCS3A02G483100, TraesCS3D02G260300, TraesCS3D02G475000, TraesCS3D02G475100, TraesCS3D02G478000, TraesCS4B02G356800, TraesCS5D02G408200, TraesCS7A02G427100"
pfdr0.05	3dpi	OA	GO:0017144	BP	e	drug metabolic process        	enriched-OA	16/386	16	386	5.20E-08	4.45E-10	3	16	5.20E-08	"TraesCS1A02G203600, TraesCS1A02G203700, TraesCS1D02G207000, TraesCS1D02G207100, TraesCS2A02G033600, TraesCS2A02G107600, TraesCS2A02G108600, TraesCS2B02G124800, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS2D02G107900, TraesCS3D02G260300, TraesCS5D02G408200, TraesCS6B02G063900, TraesCS6B02G302400, TraesCS6D02G255200"
puncorrected0.05	3dpi	SA	GO:0023051	BP	e	regulation of signaling       	enriched-SA	14611	1	40	0.0387	0.0387	3	1	1	TraesCS2A02G199300
pfdr0.05	3dpi	OA	GO:0043168	MF	e	anion binding                 	enriched-OA	68/386	68	386	5.92E-18	1.20E-20	3	68	5.92E-18	"TraesCS1A02G006300, TraesCS1A02G017900, TraesCS1A02G018000, TraesCS1A02G422600, TraesCS1B02G006500, TraesCS1B02G007100, TraesCS1B02G036700, TraesCS1B02G036800, TraesCS1B02G060700, TraesCS1B02G456700, TraesCS1D02G430800, TraesCS2A02G003900, TraesCS2A02G026600, TraesCS2A02G107000, TraesCS2B02G084000, TraesCS2B02G084100, TraesCS2B02G146000, TraesCS2D02G571100, TraesCS2D02G571300, TraesCS2D02G572600, TraesCS3A02G039200, TraesCS3B02G005000, TraesCS3B02G005100, TraesCS3B02G481000, TraesCS3D02G104500, TraesCS3D02G415400, TraesCS3D02G438600, TraesCS4A02G331100, TraesCS4A02G363900, TraesCS4A02G393500, TraesCS4A02G447300, TraesCS4A02G447700, TraesCS4A02G461800, TraesCS4A02G466000, TraesCS4A02G471700, TraesCS5A02G003600, TraesCS5A02G157200, TraesCS5A02G260600, TraesCS5A02G321300, TraesCS5D02G004400, TraesCS5D02G187500, TraesCS5D02G328100, TraesCS6A02G004500, TraesCS6A02G228900, TraesCS6A02G385000, TraesCS6B02G058300, TraesCS6B02G114200, TraesCS6B02G152700, TraesCS6B02G353200, TraesCS6D02G375700, TraesCS6D02G392700, TraesCS7A02G039500, TraesCS7A02G039900, TraesCS7A02G392800, TraesCS7A02G434100, TraesCS7A02G442500, TraesCS7A02G567500, TraesCS7B02G175300, TraesCS7B02G378300, TraesCS7B02G415600, TraesCS7D02G017400, TraesCS7D02G020800, TraesCS7D02G036700, TraesCS7D02G040500, TraesCS7D02G161100, TraesCS7D02G544600, TraesCS7D02G546100, TraesCSU02G141500"
pfdr0.05	3dpi	OA	GO:0043169	MF	e	cation binding                	enriched-OA	45/386	45	386	6.14E-11	2.49E-13	3	45	6.14E-11	"TraesCS1A02G088600, TraesCS1A02G122500, TraesCS1A02G445600, TraesCS1B02G107600, TraesCS1B02G456700, TraesCS1D02G090000, TraesCS2A02G107600, TraesCS2A02G121200, TraesCS2A02G322500, TraesCS2B02G124800, TraesCS2B02G360300, TraesCS2D02G006500, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS2D02G107900, TraesCS2D02G162300, TraesCS2D02G568600, TraesCS2D02G570300, TraesCS2D02G571900, TraesCS3B02G282400, TraesCS3D02G104500, TraesCS4A02G230500, TraesCS4A02G279100, TraesCS4A02G279200, TraesCS4A02G308600, TraesCS4A02G414800, TraesCS4B02G033100, TraesCS4B02G033300, TraesCS4B02G085400, TraesCS4B02G382300, TraesCS4D02G031600, TraesCS4D02G031700, TraesCS4D02G031800, TraesCS4D02G083500, TraesCS5A02G007900, TraesCS5A02G014400, TraesCS5A02G286100, TraesCS5A02G317600, TraesCS5D02G462500, TraesCS6B02G063900, TraesCS6B02G158300, TraesCS6D02G377900, TraesCS7A02G013400, TraesCS7A02G442500, TraesCSU02G007800"
pfdr0.05	3dpi	OA	GO:0043170	BP	e	macromolecule metabolic process	enriched-OA	63/386	63	386	1.75E-09	1.03E-11	3	63	1.75E-09	"TraesCS1A02G006300, TraesCS1A02G017900, TraesCS1A02G018000, TraesCS1A02G203600, TraesCS1A02G203700, TraesCS1A02G358100, TraesCS1A02G358400, TraesCS1A02G422600, TraesCS1B02G006500, TraesCS1B02G007100, TraesCS1B02G036700, TraesCS1B02G374900, TraesCS1B02G377700, TraesCS1B02G456700, TraesCS1D02G207000, TraesCS1D02G207100, TraesCS1D02G363300, TraesCS1D02G430800, TraesCS2A02G022700, TraesCS2A02G033600, TraesCS2A02G107000, TraesCS2B02G084000, TraesCS2B02G084100, TraesCS2D02G145300, TraesCS2D02G571100, TraesCS2D02G572300, TraesCS2D02G572600, TraesCS3A02G039200, TraesCS3A02G056000, TraesCS3A02G209800, TraesCS3B02G005000, TraesCS3B02G005100, TraesCS3B02G129900, TraesCS3B02G240200, TraesCS3B02G481000, TraesCS3D02G260300, TraesCS3D02G438600, TraesCS4A02G373100, TraesCS4A02G437100, TraesCS5A02G321300, TraesCS5D02G187500, TraesCS5D02G328100, TraesCS5D02G408200, TraesCS6A02G004500, TraesCS6A02G228900, TraesCS6A02G283500, TraesCS6A02G286900, TraesCS6A02G385000, TraesCS6A02G406500, TraesCS6B02G152700, TraesCS6D02G264000, TraesCS6D02G371300, TraesCS6D02G375700, TraesCS6D02G389600, TraesCS7A02G427100, TraesCS7A02G434100, TraesCS7A02G510200, TraesCS7B02G378300, TraesCS7B02G415600, TraesCS7D02G036700, TraesCS7D02G161100, TraesCS7D02G263800, TraesCSU02G002300"
pfdr0.05	3dpi	OA	GO:0044248	BP	e	cellular catabolic process    	enriched-OA	17/386	17	386	1.13E-06	1.15E-08	3	17	1.13E-06	"TraesCS1A02G203600, TraesCS1A02G203700, TraesCS1D02G207000, TraesCS1D02G207100, TraesCS2A02G033600, TraesCS2A02G107600, TraesCS2A02G108600, TraesCS2B02G084200, TraesCS2B02G124800, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS2D02G107900, TraesCS3D02G260300, TraesCS5D02G408200, TraesCS6B02G063900, TraesCS6B02G302400, TraesCS6D02G255200"
pfdr0.05	3dpi	OA	GO:0044249	BP	e	cellular biosynthetic process 	enriched-OA	23/386	23	386	0.0134	0.000276	3	23	0.0134	"TraesCS1A02G088600, TraesCS1A02G358100, TraesCS1A02G358400, TraesCS1B02G107600, TraesCS1B02G374900, TraesCS1D02G090000, TraesCS1D02G363300, TraesCS2D02G572300, TraesCS3A02G056000, TraesCS3A02G209800, TraesCS3B02G129900, TraesCS3B02G240200, TraesCS3B02G547300, TraesCS3D02G493700, TraesCS4A02G373100, TraesCS5A02G007900, TraesCS6A02G286900, TraesCS6A02G406500, TraesCS6D02G371300, TraesCS7A02G241100, TraesCS7A02G392800, TraesCS7A02G442500, TraesCS7D02G263800"
