##Databases: PANTHER, KEGG PATHWAY
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
RNA transport	KEGG PATHWAY	osa03013	6	149	0.0077281620197	0.0309126480788	4349446|4341966|4331811|4331810|4331813|4331812	http://www.genome.jp/kegg-bin/show_pathway?osa03013/osa:4331810%09red/osa:4331811%09red/osa:4331812%09red/osa:4331813%09red/osa:4341966%09red/osa:4349446%09red
Monobactam biosynthesis	KEGG PATHWAY	osa00261	2	11	0.00877263338095	0.0333360068476	4346642|4334073	http://www.genome.jp/kegg-bin/show_pathway?osa00261/osa:4346642%09red/osa:4334073%09red
Ascorbate and aldarate metabolism	KEGG PATHWAY	osa00053	3	37	0.00978497615187	0.0354122946449	4333156|4340725|4344670	http://www.genome.jp/kegg-bin/show_pathway?osa00053/osa:4344670%09red/osa:4333156%09red/osa:4340725%09red
Glutathione metabolism	KEGG PATHWAY	osa00480	4	73	0.0105589089694	0.0364762309851	4350528|4332455|4324176|4342988	http://www.genome.jp/kegg-bin/show_pathway?osa00480/osa:4350528%09red/osa:4332455%09red/osa:4342988%09red/osa:4324176%09red
Lysine degradation	KEGG PATHWAY	osa00310	2	25	0.0356723493968	0.11422167004	4340725|4335689	http://www.genome.jp/kegg-bin/show_pathway?osa00310/osa:4340725%09red/osa:4335689%09red
Starch and sucrose metabolism	KEGG PATHWAY	osa00500	5	159	0.0360700010651	0.11422167004	4333156|4324621|4345842|4340386|4324810	http://www.genome.jp/kegg-bin/show_pathway?osa00500/osa:4324621%09red/osa:4333156%09red/osa:4345842%09red/osa:4324810%09red/osa:4340386%09red
Photosynthesis	KEGG PATHWAY	osa00195	3	70	0.0472877427366	0.142928569086	4348816|4338930|4334338	http://www.genome.jp/kegg-bin/show_pathway?osa00195/osa:4338930%09red/osa:4334338%09red/osa:4348816%09red
Glycerophospholipid metabolism	KEGG PATHWAY	osa00564	3	71	0.04889661574	0.142928569086	9268113|4325586|4324704	http://www.genome.jp/kegg-bin/show_pathway?osa00564/osa:4324704%09red/osa:4325586%09red/osa:9268113%09red
Carbon fixation in photosynthetic organisms	KEGG PATHWAY	osa00710	3	73	0.0521937512703	0.146915744316	4327423|4344564|4328435	http://www.genome.jp/kegg-bin/show_pathway?osa00710/osa:4344564%09red/osa:4327423%09red/osa:4328435%09red
Phenylalanine metabolism	KEGG PATHWAY	osa00360	2	35	0.0630116404939	0.156846311045	4336415|4330036	http://www.genome.jp/kegg-bin/show_pathway?osa00360/osa:4336415%09red/osa:4330036%09red
5-Hydroxytryptamine degredation	PANTHER	P04372	1	5	0.064538493267	0.156846311045	4340725	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04372
Peroxisome	KEGG PATHWAY	osa04146	3	80	0.0645473581861	0.156846311045	4333336|4337714|4324176	http://www.genome.jp/kegg-bin/show_pathway?osa04146/osa:4337714%09red/osa:4333336%09red/osa:4324176%09red
Huntington disease	PANTHER	P00029	2	36	0.0660405520189	0.156846311045	4340590|4344564	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00029
Cyanoamino acid metabolism	KEGG PATHWAY	osa00460	2	36	0.0660405520189	0.156846311045	4350456|4324773	http://www.genome.jp/kegg-bin/show_pathway?osa00460/osa:4324773%09red/osa:4350456%09red
Porphyrin and chlorophyll metabolism	KEGG PATHWAY	osa00860	2	37	0.0691170873166	0.159178746547	4332843|4349004	http://www.genome.jp/kegg-bin/show_pathway?osa00860/osa:4332843%09red/osa:4349004%09red
Fatty acid degradation	KEGG PATHWAY	osa00071	2	41	0.081871516444	0.177778149993	4337714|4340725	http://www.genome.jp/kegg-bin/show_pathway?osa00071/osa:4337714%09red/osa:4340725%09red
Pentose and glucuronate interconversions	KEGG PATHWAY	osa00040	2	41	0.081871516444	0.177778149993	4333156|4340725	http://www.genome.jp/kegg-bin/show_pathway?osa00040/osa:4333156%09red/osa:4340725%09red
Fatty acid biosynthesis	KEGG PATHWAY	osa00061	2	42	0.085165425956	0.179793677018	4343906|4337714	http://www.genome.jp/kegg-bin/show_pathway?osa00061/osa:4337714%09red/osa:4343906%09red
Phosphatidylinositol signaling system	KEGG PATHWAY	osa04070	2	43	0.0884988334278	0.181777392447	4328439|4333768	http://www.genome.jp/kegg-bin/show_pathway?osa04070/osa:4333768%09red/osa:4328439%09red
Vitamin B6 metabolism	KEGG PATHWAY	osa00750	1	8	0.0952329022836	0.181777392447	4325651	http://www.genome.jp/kegg-bin/show_pathway?osa00750/osa:4325651%09red
2-Oxocarboxylic acid metabolism	KEGG PATHWAY	osa01210	2	46	0.0987234586598	0.181777392447	4331547|4324176	http://www.genome.jp/kegg-bin/show_pathway?osa01210/osa:4331547%09red/osa:4324176%09red
RNA degradation	KEGG PATHWAY	osa03018	3	97	0.0994269879029	0.181777392447	9270165|4339910|4346906	http://www.genome.jp/kegg-bin/show_pathway?osa03018/osa:4339910%09red/osa:9270165%09red/osa:4346906%09red
Inositol phosphate metabolism	KEGG PATHWAY	osa00562	2	47	0.102202387169	0.181777392447	4328439|4331917	http://www.genome.jp/kegg-bin/show_pathway?osa00562/osa:4328439%09red/osa:4331917%09red
De novo purine biosynthesis	PANTHER	P02738	1	9	0.105239542996	0.181777392447	4331502	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02738
Riboflavin metabolism	KEGG PATHWAY	osa00740	1	9	0.105239542996	0.181777392447	4339017	http://www.genome.jp/kegg-bin/show_pathway?osa00740/osa:4339017%09red
Limonene and pinene degradation	KEGG PATHWAY	osa00903	1	9	0.105239542996	0.181777392447	4340725	http://www.genome.jp/kegg-bin/show_pathway?osa00903/osa:4340725%09red
Galactose metabolism	KEGG PATHWAY	osa00052	2	53	0.12373705694	0.206394462279	4347638|4344351	http://www.genome.jp/kegg-bin/show_pathway?osa00052/osa:4344351%09red/osa:4347638%09red
AGE-RAGE signaling pathway in diabetic complications	KEGG PATHWAY	osa04933	1	11	0.124922964011	0.206394462279	4340590	http://www.genome.jp/kegg-bin/show_pathway?osa04933/osa:4340590%09red
Amino sugar and nucleotide sugar metabolism	KEGG PATHWAY	osa00520	3	111	0.132644103266	0.214488337197	4333156|4347638|4345842	http://www.genome.jp/kegg-bin/show_pathway?osa00520/osa:4333156%09red/osa:4345842%09red/osa:4347638%09red
Fructose and mannose metabolism	KEGG PATHWAY	osa00051	2	58	0.142428966261	0.225512529914	4340909|4345338	http://www.genome.jp/kegg-bin/show_pathway?osa00051/osa:4340909%09red/osa:4345338%09red
Plant hormone signal transduction	KEGG PATHWAY	osa04075	4	184	0.155855089735	0.2382364441	4345625|4335058|4325747|4347439	http://www.genome.jp/kegg-bin/show_pathway?osa04075/osa:4325747%09red/osa:4335058%09red/osa:4347439%09red/osa:4345625%09red
Nicotinate and nicotinamide metabolism	KEGG PATHWAY	osa00760	1	15	0.163003882805	0.2382364441	4328220	http://www.genome.jp/kegg-bin/show_pathway?osa00760/osa:4328220%09red
Photosynthesis - antenna proteins	KEGG PATHWAY	osa00196	1	15	0.163003882805	0.2382364441	4336028	http://www.genome.jp/kegg-bin/show_pathway?osa00196/osa:4336028%09red
Lysine biosynthesis	KEGG PATHWAY	osa00300	1	15	0.163003882805	0.2382364441	4346642	http://www.genome.jp/kegg-bin/show_pathway?osa00300/osa:4346642%09red
Phenylpropanoid biosynthesis	KEGG PATHWAY	osa00940	3	125	0.169110137809	0.242444282176	4336415|4330036|4328841	http://www.genome.jp/kegg-bin/show_pathway?osa00940/osa:4328841%09red/osa:4336415%09red/osa:4330036%09red
Histidine metabolism	KEGG PATHWAY	osa00340	1	16	0.172263042599	0.242444282176	4340725	http://www.genome.jp/kegg-bin/show_pathway?osa00340/osa:4340725%09red
Fatty acid metabolism	KEGG PATHWAY	osa01212	2	68	0.181334529079	0.248051039842	4343906|4337714	http://www.genome.jp/kegg-bin/show_pathway?osa01212/osa:4337714%09red/osa:4343906%09red
Purine metabolism	KEGG PATHWAY	osa00230	3	130	0.18277445041	0.248051039842	4331502|4337406|4334073	http://www.genome.jp/kegg-bin/show_pathway?osa00230/osa:4331502%09red/osa:4334073%09red/osa:4337406%09red
Biotin metabolism	KEGG PATHWAY	osa00780	1	20	0.208289483326	0.277719311101	4343906	http://www.genome.jp/kegg-bin/show_pathway?osa00780/osa:4343906%09red
Tryptophan metabolism	KEGG PATHWAY	osa00380	1	23	0.23427937938	0.30698677298	4340725	http://www.genome.jp/kegg-bin/show_pathway?osa00380/osa:4340725%09red
Steroid biosynthesis	KEGG PATHWAY	osa00100	1	26	0.259418462718	0.334166155366	4331540	http://www.genome.jp/kegg-bin/show_pathway?osa00100/osa:4331540%09red
Ubiquitin proteasome pathway	PANTHER	P00060	1	30	0.291661629102	0.369438063529	4343069	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00060
FGF signaling pathway	PANTHER	P00021	1	31	0.299501267593	0.37314912028	4340590	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00021
beta-Alanine metabolism	KEGG PATHWAY	osa00410	1	32	0.307254386316	0.376634409032	4340725	http://www.genome.jp/kegg-bin/show_pathway?osa00410/osa:4340725%09red
SNARE interactions in vesicular transport	KEGG PATHWAY	osa04130	1	37	0.344755144579	0.415895095047	4340278	http://www.genome.jp/kegg-bin/show_pathway?osa04130/osa:4340278%09red
Basal transcription factors	KEGG PATHWAY	osa03022	1	39	0.359182340425	0.421773186059	4345330	http://www.genome.jp/kegg-bin/show_pathway?osa03022/osa:4345330%09red
Valine, leucine and isoleucine degradation	KEGG PATHWAY	osa00280	1	40	0.366276714209	0.421773186059	4340725	http://www.genome.jp/kegg-bin/show_pathway?osa00280/osa:4340725%09red
Arginine and proline metabolism	KEGG PATHWAY	osa00330	1	40	0.366276714209	0.421773186059	4340725	http://www.genome.jp/kegg-bin/show_pathway?osa00330/osa:4340725%09red
Alanine, aspartate and glutamate metabolism	KEGG PATHWAY	osa00250	1	43	0.387093370729	0.439090987693	4328220	http://www.genome.jp/kegg-bin/show_pathway?osa00250/osa:4328220%09red
Glycerolipid metabolism	KEGG PATHWAY	osa00561	1	46	0.407228138361	0.455137331109	4340725	http://www.genome.jp/kegg-bin/show_pathway?osa00561/osa:4340725%09red
Terpenoid backbone biosynthesis	KEGG PATHWAY	osa00900	1	47	0.413792067716	0.455770973137	4338768	http://www.genome.jp/kegg-bin/show_pathway?osa00900/osa:4338768%09red
Protein export	KEGG PATHWAY	osa03060	1	54	0.457754278524	0.49699035954	4324524	http://www.genome.jp/kegg-bin/show_pathway?osa03060/osa:4324524%09red
Proteasome	KEGG PATHWAY	osa03050	1	63	0.509480345177	0.545359242725	4343069	http://www.genome.jp/kegg-bin/show_pathway?osa03050/osa:4343069%09red
Phagosome	KEGG PATHWAY	osa04145	1	77	0.580334740594	0.612575559516	4340590	http://www.genome.jp/kegg-bin/show_pathway?osa04145/osa:4340590%09red
Ubiquitin mediated proteolysis	KEGG PATHWAY	osa04120	1	109	0.706286462732	0.735311933803	4344172	http://www.genome.jp/kegg-bin/show_pathway?osa04120/osa:4344172%09red
Endocytosis	KEGG PATHWAY	osa04144	1	127	0.75974172482	0.78027528495	4350961	http://www.genome.jp/kegg-bin/show_pathway?osa04144/osa:4350961%09red
Protein processing in endoplasmic reticulum	KEGG PATHWAY	osa04141	1	189	0.879834552721	0.890781213669	4336083	http://www.genome.jp/kegg-bin/show_pathway?osa04141/osa:4336083%09red
Ribosome	KEGG PATHWAY	osa03010	2	337	0.890781213669	0.890781213669	4352560|4326782	http://www.genome.jp/kegg-bin/show_pathway?osa03010/osa:4326782%09red/osa:4352560%09red

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------
