##Databases: KEGG PATHWAY
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Carbon metabolism	KEGG PATHWAY	osa01200	26	235	7.71766823807e-06	7.11567815807e-05	4328812|4334554|4333898|9268154|4330747|4327493|4326980|4347691|4324637|4340042|4342988|4331861|4331941|4338750|4338007|4349897|4346520|4333926|4334968|4337230|4327239|4325531|4337048|4346699|4350456|4324176	http://www.genome.jp/kegg-bin/show_pathway?osa01200/osa:4328812%09red/osa:4337048%09red/osa:4337230%09red/osa:4334554%09red/osa:4346520%09red/osa:4325531%09red/osa:4350456%09red/osa:4326980%09red/osa:4346699%09red/osa:4324637%09red/osa:4338007%09red/osa:4333926%09red/osa:4333898%09red/osa:4324176%09red/osa:4330747%09red/osa:4334968%09red/osa:4338750%09red/osa:4331941%09red/osa:4331861%09red/osa:4327239%09red/osa:4342988%09red/osa:9268154%09red/osa:4347691%09red/osa:4349897%09red/osa:4327493%09red/osa:4340042%09red
Ascorbate and aldarate metabolism	KEGG PATHWAY	osa00053	10	37	8.37138606831e-06	7.11567815807e-05	4349966|4335896|4352223|4341305|4350816|4330612|4340725|4344670|4347172|4336538	http://www.genome.jp/kegg-bin/show_pathway?osa00053/osa:4340725%09red/osa:4330612%09red/osa:4347172%09red/osa:4349966%09red/osa:4344670%09red/osa:4341305%09red/osa:4336538%09red/osa:4352223%09red/osa:4350816%09red/osa:4335896%09red
Phenylalanine metabolism	KEGG PATHWAY	osa00360	9	35	3.30941603813e-05	0.000259661873761	4324941|4340240|4338409|4338861|4336415|4345717|4330034|4330036|4325632	http://www.genome.jp/kegg-bin/show_pathway?osa00360/osa:4330034%09red/osa:4325632%09red/osa:4330036%09red/osa:4338861%09red/osa:4324941%09red/osa:4345717%09red/osa:4338409%09red/osa:4336415%09red/osa:4340240%09red
Pyruvate metabolism	KEGG PATHWAY	osa00620	13	79	4.25798536148e-05	0.000310224647765	4349966|4346699|4338750|4338007|4326980|4325531|4346520|4340725|4330612|9268154|4334968|4347172|4336538	http://www.genome.jp/kegg-bin/show_pathway?osa00620/osa:4338750%09red/osa:4338007%09red/osa:4330612%09red/osa:4347172%09red/osa:4334968%09red/osa:4349966%09red/osa:4346520%09red/osa:4346699%09red/osa:4325531%09red/osa:4336538%09red/osa:4340725%09red/osa:9268154%09red/osa:4326980%09red
Nitrogen metabolism	KEGG PATHWAY	osa00910	8	28	4.826391552e-05	0.000328194625536	4333896|4345798|4345795|4348870|4345604|4324249|4326014|4330867	http://www.genome.jp/kegg-bin/show_pathway?osa00910/osa:4345798%09red/osa:4326014%09red/osa:4345795%09red/osa:4345604%09red/osa:4330867%09red/osa:4324249%09red/osa:4333896%09red/osa:4348870%09red
Glycolysis / Gluconeogenesis	KEGG PATHWAY	osa00010	16	123	7.68002234585e-05	0.000489601424548	4349966|4327493|4350054|4326980|4332519|4347691|4340725|4330612|4347172|4340042|4334968|4330090|4349897|4345338|4330747|4336538	http://www.genome.jp/kegg-bin/show_pathway?osa00010/osa:4350054%09red/osa:4345338%09red/osa:4330612%09red/osa:4347172%09red/osa:4347691%09red/osa:4334968%09red/osa:4349897%09red/osa:4349966%09red/osa:4327493%09red/osa:4332519%09red/osa:4330090%09red/osa:4340042%09red/osa:4336538%09red/osa:4330747%09red/osa:4340725%09red/osa:4326980%09red
Glutathione metabolism	KEGG PATHWAY	osa00480	12	73	8.39018237347e-05	0.000503410942408	4332456|4335896|4325704|4325715|4325707|4326887|4324176|4325710|4342988|4331112|4349207|4336627	http://www.genome.jp/kegg-bin/show_pathway?osa00480/osa:4326887%09red/osa:4336627%09red/osa:4325715%09red/osa:4325704%09red/osa:4325710%09red/osa:4332456%09red/osa:4325707%09red/osa:4324176%09red/osa:4331112%09red/osa:4342988%09red/osa:4349207%09red/osa:4335896%09red
Limonene and pinene degradation	KEGG PATHWAY	osa00903	5	9	0.000115696487541	0.000655613429398	4349966|4340725|4336538|4330612|4334183	http://www.genome.jp/kegg-bin/show_pathway?osa00903/osa:4334183%09red/osa:4340725%09red/osa:4349966%09red/osa:4336538%09red/osa:4330612%09red
Regulation of autophagy	KEGG PATHWAY	osa04140	7	27	0.000239417738037	0.00128529522525	4326644|4332495|4345873|4337435|4333022|4337982|4331441	http://www.genome.jp/kegg-bin/show_pathway?osa04140/osa:4332495%09red/osa:4337435%09red/osa:4337982%09red/osa:4326644%09red/osa:4345873%09red/osa:4333022%09red/osa:4331441%09red
Stilbenoid, diarylheptanoid and gingerol biosynthesis	KEGG PATHWAY	osa00945	5	12	0.000325254619286	0.00165879855836	4340240|4342896|4334183|4338409|4339188	http://www.genome.jp/kegg-bin/show_pathway?osa00945/osa:4338409%09red/osa:4334183%09red/osa:4342896%09red/osa:4340240%09red/osa:4339188%09red
Arginine and proline metabolism	KEGG PATHWAY	osa00330	8	40	0.000402755104789	0.0019562390804	4349966|4349318|4334912|4333554|4340725|4330612|4347172|4336538	http://www.genome.jp/kegg-bin/show_pathway?osa00330/osa:4330612%09red/osa:4347172%09red/osa:4349966%09red/osa:4333554%09red/osa:4349318%09red/osa:4334912%09red/osa:4336538%09red/osa:4340725%09red
Tryptophan metabolism	KEGG PATHWAY	osa00380	6	23	0.000651407509204	0.00302016208813	4349966|4346520|4330612|4340725|4347172|4336538	http://www.genome.jp/kegg-bin/show_pathway?osa00380/osa:4330612%09red/osa:4347172%09red/osa:4349966%09red/osa:4346520%09red/osa:4336538%09red/osa:4340725%09red
Biosynthesis of unsaturated fatty acids	KEGG PATHWAY	osa01040	7	34	0.000794709362749	0.0034483975959	4339846|4337904|4350881|4348791|4334104|4340986|4331150	http://www.genome.jp/kegg-bin/show_pathway?osa01040/osa:4340986%09red/osa:4348791%09red/osa:4337904%09red/osa:4331150%09red/osa:4339846%09red/osa:4350881%09red/osa:4334104%09red
Glycine, serine and threonine metabolism	KEGG PATHWAY	osa00260	9	57	0.000821366747013	0.0034483975959	4331779|4347172|4326980|4327493|4325651|4333898|4350456|4337230|4330747	http://www.genome.jp/kegg-bin/show_pathway?osa00260/osa:4327493%09red/osa:4337230%09red/osa:4347172%09red/osa:4331779%09red/osa:4325651%09red/osa:4333898%09red/osa:4330747%09red/osa:4350456%09red/osa:4326980%09red
Glycerolipid metabolism	KEGG PATHWAY	osa00561	8	46	0.000909304948605	0.0034483975959	4324826|4349966|4333926|4330612|4340911|4340725|4347172|4336538	http://www.genome.jp/kegg-bin/show_pathway?osa00561/osa:4330612%09red/osa:4347172%09red/osa:4324826%09red/osa:4349966%09red/osa:4333926%09red/osa:4336538%09red/osa:4340911%09red/osa:4340725%09red
Fructose and mannose metabolism	KEGG PATHWAY	osa00051	9	58	0.000917441977606	0.0034483975959	4324962|4345338|4349897|4326178|4347691|4333926|4327472|4332373|4334653	http://www.genome.jp/kegg-bin/show_pathway?osa00051/osa:4326178%09red/osa:4345338%09red/osa:4332373%09red/osa:4349897%09red/osa:4347691%09red/osa:4324962%09red/osa:4333926%09red/osa:4334653%09red/osa:4327472%09red
Histidine metabolism	KEGG PATHWAY	osa00340	5	16	0.000942968129738	0.0034483975959	4349966|4340725|4347172|4330612|4336538	http://www.genome.jp/kegg-bin/show_pathway?osa00340/osa:4347172%09red/osa:4340725%09red/osa:4349966%09red/osa:4336538%09red/osa:4330612%09red
Lysine degradation	KEGG PATHWAY	osa00310	6	25	0.000946618947894	0.0034483975959	4349966|4346520|4330612|4340725|4347172|4336538	http://www.genome.jp/kegg-bin/show_pathway?osa00310/osa:4330612%09red/osa:4347172%09red/osa:4349966%09red/osa:4346520%09red/osa:4336538%09red/osa:4340725%09red
Flavonoid biosynthesis	KEGG PATHWAY	osa00941	5	18	0.00146436767785	0.00515053459106	4340240|4337100|4337102|4338409|4339188	http://www.genome.jp/kegg-bin/show_pathway?osa00941/osa:4338409%09red/osa:4337102%09red/osa:4337100%09red/osa:4340240%09red/osa:4339188%09red
Phenylalanine, tyrosine and tryptophan biosynthesis	KEGG PATHWAY	osa00400	7	42	0.00233673728954	0.00794490678443	4324941|4325444|4343946|4347875|4332286|4328957|4347717	http://www.genome.jp/kegg-bin/show_pathway?osa00400/osa:4332286%09red/osa:4328957%09red/osa:4347875%09red/osa:4343946%09red/osa:4324941%09red/osa:4347717%09red/osa:4325444%09red
Amino sugar and nucleotide sugar metabolism	KEGG PATHWAY	osa00520	12	111	0.00247905971677	0.00815690616485	4339153|4324962|4350816|4327472|4329920|4351401|4328266|4344584|4332373|4343697|4349683|4352627	http://www.genome.jp/kegg-bin/show_pathway?osa00520/osa:4327472%09red/osa:4329920%09red/osa:4344584%09red/osa:4332373%09red/osa:4351401%09red/osa:4328266%09red/osa:4324962%09red/osa:4343697%09red/osa:4339153%09red/osa:4352627%09red/osa:4350816%09red/osa:4349683%09red
Zeatin biosynthesis	KEGG PATHWAY	osa00908	4	14	0.00407962511658	0.0130038050591	4336630|4336629|4336681|4336683	http://www.genome.jp/kegg-bin/show_pathway?osa00908/osa:4336630%09red/osa:4336629%09red/osa:4336681%09red/osa:4336683%09red
Pantothenate and CoA biosynthesis	KEGG PATHWAY	osa00770	5	25	0.004983069743	0.0150435033123	4343249|4340439|4327558|4336645|4330657	http://www.genome.jp/kegg-bin/show_pathway?osa00770/osa:4336645%09red/osa:4327558%09red/osa:4343249%09red/osa:4330657%09red/osa:4340439%09red
Nicotinate and nicotinamide metabolism	KEGG PATHWAY	osa00760	4	15	0.00501450110408	0.0150435033123	4347891|4335862|4325416|4346302	http://www.genome.jp/kegg-bin/show_pathway?osa00760/osa:4347891%09red/osa:4346302%09red/osa:4325416%09red/osa:4335862%09red
Tyrosine metabolism	KEGG PATHWAY	osa00350	6	38	0.00598335540317	0.0174372071749	4324941|4337055|4350054|4339844|4330090|4328618	http://www.genome.jp/kegg-bin/show_pathway?osa00350/osa:4350054%09red/osa:4330090%09red/osa:4337055%09red/osa:4339844%09red/osa:4324941%09red/osa:4328618%09red
ABC transporters	KEGG PATHWAY	osa02010	3	8	0.00709724673764	0.0201026585243	4328570|4324720|4330390	http://www.genome.jp/kegg-bin/show_pathway?osa02010/osa:4330390%09red/osa:4324720%09red/osa:4328570%09red
Cutin, suberine and wax biosynthesis	KEGG PATHWAY	osa00073	4	17	0.00729214083726	0.0201026585243	4336648|4331746|4330012|4336376	http://www.genome.jp/kegg-bin/show_pathway?osa00073/osa:4336648%09red/osa:4331746%09red/osa:4330012%09red/osa:4336376%09red
Plant hormone signal transduction	KEGG PATHWAY	osa04075	15	184	0.00899961076474	0.0239535210008	4333017|4342060|4332660|4332548|4349472|4351527|4333860|4343785|4325503|9271403|4349800|4339365|4342317|4335937|4342865	http://www.genome.jp/kegg-bin/show_pathway?osa04075/osa:9271403%09red/osa:4335937%09red/osa:4342317%09red/osa:4342060%09red/osa:4333017%09red/osa:4349472%09red/osa:4349800%09red/osa:4343785%09red/osa:4333860%09red/osa:4332660%09red/osa:4339365%09red/osa:4325503%09red/osa:4342865%09red/osa:4351527%09red/osa:4332548%09red
Fatty acid biosynthesis	KEGG PATHWAY	osa00061	6	42	0.00915869920617	0.0239535210008	4334104|4349764|4348791|4334764|4337714|4351483	http://www.genome.jp/kegg-bin/show_pathway?osa00061/osa:4348791%09red/osa:4349764%09red/osa:4334764%09red/osa:4351483%09red/osa:4337714%09red/osa:4334104%09red
Thiamine metabolism	KEGG PATHWAY	osa00730	3	10	0.011626524774	0.0296476381736	4342614|4351707|4326818	http://www.genome.jp/kegg-bin/show_pathway?osa00730/osa:4326818%09red/osa:4342614%09red/osa:4351707%09red
Butanoate metabolism	KEGG PATHWAY	osa00650	4	21	0.0136774578329	0.0340268463159	4332184|4346520|4344928|4325632	http://www.genome.jp/kegg-bin/show_pathway?osa00650/osa:4332184%09red/osa:4344928%09red/osa:4346520%09red/osa:4325632%09red
Starch and sucrose metabolism	KEGG PATHWAY	osa00500	13	159	0.0140800884023	0.0341945004055	4327282|4330753|4324001|4345220|4340386|4343959|4334116|4336515|4347547|4330832|4328018|4352627|4324962	http://www.genome.jp/kegg-bin/show_pathway?osa00500/osa:4347547%09red/osa:4336515%09red/osa:4327282%09red/osa:4324001%09red/osa:4330832%09red/osa:4324962%09red/osa:4328018%09red/osa:4345220%09red/osa:4334116%09red/osa:4352627%09red/osa:4343959%09red/osa:4340386%09red/osa:4330753%09red
Inositol phosphate metabolism	KEGG PATHWAY	osa00562	6	47	0.014623956692	0.0346893856415	4333967|4331188|4347691|4341305|4337982|4334641	http://www.genome.jp/kegg-bin/show_pathway?osa00562/osa:4337982%09red/osa:4333967%09red/osa:4347691%09red/osa:4334641%09red/osa:4331188%09red/osa:4341305%09red
Glyoxylate and dicarboxylate metabolism	KEGG PATHWAY	osa00630	7	63	0.016511573054	0.0382768284433	4333896|4326980|4328812|4346520|4337048|9268154|4350456	http://www.genome.jp/kegg-bin/show_pathway?osa00630/osa:4328812%09red/osa:4337048%09red/osa:4346520%09red/osa:4333896%09red/osa:4350456%09red/osa:9268154%09red/osa:4326980%09red
Galactose metabolism	KEGG PATHWAY	osa00052	6	53	0.0237564784728	0.0538480178716	4324001|4344351|4332654|4336515|4342703|4328018	http://www.genome.jp/kegg-bin/show_pathway?osa00052/osa:4336515%09red/osa:4344351%09red/osa:4324001%09red/osa:4342703%09red/osa:4328018%09red/osa:4332654%09red
Steroid biosynthesis	KEGG PATHWAY	osa00100	4	26	0.02554708136	0.056647876059	4329318|9267882|4325562|4325563	http://www.genome.jp/kegg-bin/show_pathway?osa00100/osa:4325563%09red/osa:4325562%09red/osa:9267882%09red/osa:4329318%09red
Diterpenoid biosynthesis	KEGG PATHWAY	osa00904	4	27	0.0284786030014	0.0609027891998	4335091|4336431|4325537|4325145	http://www.genome.jp/kegg-bin/show_pathway?osa00904/osa:4335091%09red/osa:4336431%09red/osa:4325537%09red/osa:4325145%09red
Linoleic acid metabolism	KEGG PATHWAY	osa00591	3	15	0.0288350800125	0.0609027891998	4334049|4345994|4345993	http://www.genome.jp/kegg-bin/show_pathway?osa00591/osa:4345993%09red/osa:4334049%09red/osa:4345994%09red
Pentose and glucuronate interconversions	KEGG PATHWAY	osa00040	5	41	0.0292572222626	0.0609027891998	4349966|4327282|4340725|4330612|4336538	http://www.genome.jp/kegg-bin/show_pathway?osa00040/osa:4340725%09red/osa:4327282%09red/osa:4349966%09red/osa:4336538%09red/osa:4330612%09red
Arginine biosynthesis	KEGG PATHWAY	osa00220	4	28	0.0316016985901	0.0644674651238	4333896|4330380|4334912|4332434	http://www.genome.jp/kegg-bin/show_pathway?osa00220/osa:4333896%09red/osa:4332434%09red/osa:4334912%09red/osa:4330380%09red
